from,to
10000,36000
36000,62000
62000,88000
88000,114000
114000,140000
140000,170000
170000,200000
200000,230000
230000,260000
260000,290000
290000,320000
320000,350000
350000,380000
380000,410000
410000,440000
440000,470000
470000,496000
496000,522000
522000,556000
556000,582000
582000,608000
608000,634000
634000,660000
660000,686000
686000,712000
712000,738000
738000,772000
772000,802000
802000,832000
832000,862000
862000,884000
884000,906000
906000,928000
928000,950000
950000,972000
972000,994000
994000,1016000
1016000,1046000
1046000,1072000
1072000,1098000
1098000,1124000
1124000,1150000
1150000,1176000
1176000,1202000
1202000,1228000
1228000,1254000
1254000,1280000
1280000,1306000
1306000,1332000
1332000,1358000
1358000,1384000
1384000,1410000
1410000,1436000
1436000,1462000
1462000,1488000
1488000,1514000
1514000,1540000
1540000,1566000
1566000,1592000
1592000,1614000
1614000,1640000
1640000,1670000
1670000,1700000
1700000,1730000
1730000,1760000
1760000,1790000
1790000,1820000
1820000,1850000
1850000,1880000
1880000,1910000
1910000,1940000
1940000,1970000
1970000,2000000
2000000,2030000
2030000,2052000
2052000,2074000
2074000,2096000
2096000,2126000
2126000,2160000
2160000,2194000
2194000,2228000
2228000,2254000
2254000,2280000
2280000,2304000
2304000,2330000
2330000,2356000
2356000,2382000
2382000,2404000
2404000,2426000
2426000,2448000
2448000,2470000
2470000,2496000
2496000,2522000
2522000,2548000
2548000,2574000
2574000,2600000
2600000,2626000
2626000,2652000
2652000,2678000
2678000,2720000
2720000,2762000
2762000,2788000
2788000,2814000
2814000,2840000
2840000,2878000
2878000,2908000
2908000,2938000
2938000,2968000
2968000,2998000
2998000,3028000
3028000,3058000
3058000,3088000
3088000,3118000
3118000,3152000
3152000,3178000
3178000,3204000
3204000,3234000
3234000,3260000
3260000,3286000
3286000,3312000
3312000,3338000
3338000,3364000
3364000,3390000
3390000,3416000
3416000,3442000
3442000,3468000
3468000,3494000
3494000,3520000
3520000,3546000
3546000,3572000
3572000,3594000
3594000,3636000
3636000,3662000
3662000,3688000
3688000,3714000
3714000,3744000
3744000,3774000
3774000,3804000
3804000,3834000
3834000,3864000
3864000,3894000
3894000,3924000
3924000,3954000
3954000,3984000
3984000,4014000
4014000,4044000
4044000,4074000
4074000,4104000
4104000,4134000
4134000,9999999
